guess,guess_pool_shrink,solution_pool_shrink
URATE,0.955029873280813,0.9561013019606381
RITES,0.9549851516041529,0.9527468990385737
TORAS,0.9549421948186788,0.9514084592455067
SETON,0.9548684356870322,0.9452581296736002
STEAD,0.9547921790678577,0.9434296936590646
SWARE,0.9547843869067719,0.9423412900186128
STOAI,0.9547809237240669,0.9423968950734481
SIRED,0.9547723656668059,0.9448690808838965
ARSON,0.9547582465373169,0.9487050832909609
NOSER,0.9547274108913102,0.9492217624749849
CORSE,0.954698040437986,0.9484983369796939
ARTIS,0.9546775277404264,0.9506182330467557
SCEAT,0.9546420634175352,0.9458662399880581
ROTAS,0.954584687804069,0.9507596714077129
SPANE,0.9545819905175394,0.9413519678684883
LIANE,0.9545793265308433,0.9544096394534657
SALON,0.9545232496108914,0.9451950608530152
LIRAS,0.9544255145989803,0.9506520065867734
SPORE,0.9544209192219294,0.9415491978784246
SILEN,0.9544207860225947,0.9467008755930195
HALSE,0.9544185882335703,0.9469361708082793
SLOAN,0.9544109292718191,0.9442466028203704
SMORE,0.9544039030069082,0.9404930750248404
SOYLE,0.9543605466234303,0.9420035546184383
SAKER,0.9543517221674996,0.9420595328615611
ROIST,0.9543324415637868,0.9472961109115589
ASTIR,0.9543237170073573,0.9499134669658393
SPIRE,0.9543119621660608,0.9417152666663556
ALURE,0.954308732082192,0.955001329483274
SABLE,0.9542818591163955,0.9416208500296218
SLAIN,0.9542673403889022,0.943390882077166
SIDER,0.9542480930850232,0.9434205505460211
TRANS,0.9542451959994912,0.9498933147983152
AIRTS,0.9541712370688421,0.9503444994378852
LITRE,0.9541625125124126,0.9560688345796267
SAMEL,0.9541541209543198,0.9429441756970457
ALONE,0.9541443641030458,0.9540842192667783
ACERS,0.954099642426386,0.9501166679883752
EARNT,0.9540874213874176,0.9579952325196273
REOIL,0.9540768320403008,0.955574546692852
SALEP,0.9540655433966763,0.9436009870830203
ORIEL,0.9540577179357566,0.9562839776273622
ALIST,0.9540492264781631,0.9462420405935559
HARES,0.9540460296941277,0.9506581641935169
PRESA,0.954028314182599,0.9455221603869962
SOCLE,0.9540206885206816,0.9452877981424551
SEDAN,0.954019856024839,0.9428437880477121
TRACE,0.9539726368606514,0.9563283870335729
CRATE,0.9539179918335489,0.9565730119560197
AYRIE,0.9539135629556665,0.9537033806193992
HEARS,0.9539125972604892,0.9488060307227258
SNAIL,0.9539030735080508,0.9430764709449593
SLICE,0.953897179437486,0.9446933092004908
RESIN,0.9538960805429737,0.948672429315806
TASED,0.9538868564890388,0.9476640745630197
SATYR,0.9538757676444163,0.9445311588895783
ISTLE,0.9538538896536751,0.9482859928441146
SAUCE,0.9538433669062258,0.9431802172888802
DORSE,0.9538364405408161,0.9448746787082088
PEARS,0.9537975796348873,0.9468397016359641
SATEM,0.953794948948025,0.9425120236601374
RISEN,0.9537558882430941,0.9497205286212093
SHIER,0.9537279496826194,0.9441288619156686
ANOLE,0.9536836942036312,0.9537768987120339
SAFER,0.9536818627127777,0.9438513964239231
RONES,0.9536450330967048,0.9499560104306126
ATONE,0.9536425023093433,0.954025628705643
SUITE,0.9536233216051321,0.9407580387089552
ASIDE,0.9535638814019765,0.9442514542681076
SOLAN,0.9535570216362338,0.9443203075071489
SHOER,0.9535464988887845,0.943109498108402
EARDS,0.9535115007635652,0.9485944329637215
SURAT,0.95349984582177,0.9437000685733479
SURAL,0.9534618174116839,0.9439258474872766
MASER,0.9534588870263182,0.9466075785211481
SAINT,0.953449463173381,0.9432177227117727
TRONE,0.9534440353004877,0.9537449911134538
RENAL,0.9534438355014855,0.9559456824447565
REAPS,0.9534292834741582,0.9464346057498986
PARES,0.953427418683471,0.9482930834215768
REINS,0.9534070058854127,0.9488812281626542
TOLES,0.9534058070913993,0.950946078957312
RENOS,0.9534025104078628,0.9487532245800467
NERAL,0.9533642821987747,0.9560902929061571
LAPSE,0.9533625173075885,0.9436674145981929
SOLDE,0.9533572892336976,0.9419565328942153
ESCAR,0.9532465006869757,0.9500369922889971
SELAH,0.9532401737185725,0.9441585303845239
TERNS,0.953193853649895,0.9510190372675154
ESTRO,0.9531573903319928,0.9482914040742831
CLAES,0.9531464346867051,0.9494923239834117
RAINS,0.953106408286597,0.9484188478744595
TELOS,0.9530598218192499,0.9494027587944152
CARLE,0.9530352465419788,0.9554612840476002
TRADE,0.95301753103045,0.9531269913093777
URAOS,0.9530151334424236,0.9450612728519516
ETNAS,0.9529865954849421,0.9481837392533434
SANTO,0.9529844975954189,0.943594642882133
TOILE,0.9529524298555653,0.954808391138644
RAPES,0.9529383440259099,0.9474894224444766
LOTES,0.9529165326348361,0.9502357150520833
PSOAE,0.9529161330368318,0.9431800306947365
SAWER,0.9528860965868337,0.9420817375646665
