guess,avg_correct,avg_present,avg_absent,avg_tile_score,guess_pool_shrink,solution_pool_shrink
ACARI,0.2812095032397408,1.3386609071274298,3.3801295896328294,1.9010799136069114,0.8994888808525291,0.904460253114956
ACCAS,0.18833693304535637,1.2509719222462203,3.5606911447084233,1.627645788336933,0.8294629269621427,0.8079455518288557
ACCOY,0.31663066954643626,0.9339092872570195,3.749460043196544,1.567170626349892,0.8639350480083703,0.8698518908984041
ACERB,0.22505399568034556,1.2941684665226783,3.480777537796976,1.7442764578833694,0.9299216654712024,0.9337939720761864
ACERS,0.23585313174946004,1.434989200863931,3.329157667386609,1.9066954643628509,0.954099642426386,0.9501166679883752
ACETA,0.24233261339092874,1.4807775377969763,3.276889848812095,1.9654427645788337,0.9030056762896524,0.9103905881913896
ACHAR,0.24406047516198703,1.2600431965442764,3.4958963282937363,1.7481641468682505,0.8681354890313677,0.8788026253796024
ACHED,0.27041036717062633,1.095464362850972,3.634125269978402,1.6362850971922247,0.9156117612348644,0.9206693131936056
ACHES,0.23498920086393088,1.238012958963283,3.526997840172786,1.7079913606911448,0.9367194935228492,0.9310922754689344
ACHOO,0.16414686825053995,1.167170626349892,3.668682505399568,1.4954643628509718,0.8495142220259753,0.857465211854326
ACIDS,0.2384449244060475,1.0539956803455723,3.70755939524838,1.5308855291576673,0.9301788733867064,0.9210188040248356
ACIDY,0.3801295896328294,0.8254859611231101,3.7943844492440606,1.5857451403887688,0.9056769556492836,0.906018687403496
ACING,0.2894168466522678,0.9434125269978402,3.767170626349892,1.5222462203023759,0.9011751511312952,0.9056025824629492
ACINI,0.27645788336933047,1.1062634989200864,3.6172786177105833,1.6591792656587474,0.8721180492424622,0.8770952889643558
ACKEE,0.4038876889848812,1.1818574514038878,3.414254859611231,1.98963282937365,0.8842325287427514,0.88249718942571
ACKER,0.3123110151187905,1.1788336933045356,3.508855291576674,1.8034557235421167,0.927000104561478,0.9292425677220122
ACMES,0.257451403887689,1.180561555075594,3.561987041036717,1.695464362850972,0.9376345063532752,0.9306679603860633
ACMIC,0.1861771058315335,1.0017278617710583,3.812095032397408,1.3740820734341253,0.8464107441247439,0.8490501891598132
